Filename,Outcome,Left_1,Left_2,Left_3,Left_4,Left_5,Right_1,Right_2,Right_3,Right_4,Right_5
img_001.jpg,DEFEAT,Lancelot,Lesley,Carmilla,Zetian,Xavier,Cyclops,Belerick,Leomord,Melissa,Hylos
img_002.jpg,VICTORY,Xavier,Lesley,Gatotkaca,Helcurt,Yi_Sun-shin,Lancelot,Nana,Claude,Alice,Diggie
img_003.jpg,VICTORY,Alice,Hylos,Martis,Julian,Ixia,Eudora,Lancelot,Dyrroth,Rafaela,Bruno
img_004.jpg,VICTORY,Gloo,Yve,Harley,Miya,Thamuz,Selena,Gusion,Yu_Zhong,Atlas,Layla
img_005.jpg,DEFEAT,Selena,Claude,Aamon,Yve,Freya,Miya,Jawhead,Cyclops,Paquito,Alice
img_006.jpg,DEFEAT,Melissa,Yu_Zhong,Estes,Harley,Aurora,Claude,Floryn,Guinevere,Roger,Cyclops
img_007.jpg,VICTORY,Gusion,Guinevere,Pharsa,Tigreal,Irithel,Cyclops,Helcurt,Thamuz,Sun,Lesley
img_008.jpg,DEFEAT,Lesley,Tigreal,Karina,Arlott,Yve,Thamuz,Gusion,Estes,Cyclops,Hanabi
img_009.jpg,DEFEAT,Guinevere,Paquito,Eudora,Aldous,Clint,Beatrix,Zilong,Aamon,Nana,Belerick
img_010.jpg,DEFEAT,Clint,Yu_Zhong,Yve,Aamon,Franco,Floryn,Thamuz,Obsidia,Valentina,Melissa
img_011.jpg,VICTORY,Zetian,Estes,Ixia,Cici,Balmond,Granger,Alice,Alucard,Franco,Cecilion
img_012.jpg,DEFEAT,Franco,Ixia,Gusion,Vexana,Yin,Guinevere,Cyclops,Karrie,Hayabusa,Rafaela
img_013.jpg,VICTORY,Obsidia,Alpha,Kaja,Gatotkaca,Pharsa,Ixia,Silvanna,Cyclops,Yu_Zhong,Natan
img_014.jpg,DEFEAT,Vexana,Thamuz,Lukas,Ixia,Arlott,Angela,Alucard,Cecilion,Yu_Zhong,Irithel
img_015.jpg,DEFEAT,Suyou,Hanabi,Minsitthar,Aurora,Ruby,Miya,Hanzo,Khaleed,Arlott,Vexana
img_016.jpg,DEFEAT,Floryn,Benedetta,Yve,Hayabusa,Granger,Selena,Yu_Zhong,Layla,Yi_Sun-shin,Kagura
img_017.jpg,VICTORY,Vale,Sora,Tigreal,Lancelot,Obsidia,Kagura,Gusion,Silvanna,Franco,Natan
img_018.jpg,DEFEAT,Hanabi,Grock,Zilong,Zetian,Lancelot,Chang'e,Fanny,Aldous,Ixia,Saber
img_019.jpg,DEFEAT,Harley,Gusion,Beatrix,Diggie,Cici,Zetian,Ling,Thamuz,Johnson,Lesley
img_020.jpg,VICTORY,Gusion,Thamuz,Beatrix,Minotaur,Lancelot,Tigreal,Arlott,Granger,Zetian,Fredrinn
img_021.jpg,DEFEAT,Lancelot,Valir,Lapu-Lapu,Minotaur,Granger,Fredrinn,Yu_Zhong,Obsidia,Vexana,Kalea
img_022.jpg,VICTORY,Lancelot,Valir,Lapu-Lapu,Minotaur,Lesley,Ruby,Irithel,Kagura,Carmilla,Fredrinn
img_023.jpg,VICTORY,Rafaela,Valir,Baxia,Alice,Karrie,Fredrinn,Estes,Belerick,Irithel,Lunox
img_024.jpg,VICTORY,Rafaela,Ruby,Yi_Sun-shin,Cici,Lunox,Lesley,Masha,Silvanna,Johnson,Odette
img_025.jpg,VICTORY,Lancelot,Pharsa,Yu_Zhong,Minotaur,Obsidia,Lapu-Lapu,Angela,Karrie,Lunox,Aamon
img_026.jpg,VICTORY,Yu_Zhong,Valir,Baxia,Beatrix,Rafaela,Kagura,Benedetta,Thamuz,Guinevere,Natan
img_027.jpg,VICTORY,Ruby,Karrie,Floryn,Leomord,Kadita,Thamuz,Alucard,Odette,Miya,Hylos
img_028.jpg,VICTORY,Vexana,Popol_and_Kupa,Yu_Zhong,Selena,Esmeralda,Aurora,Zilong,Leomord,Lesley,Tigreal
img_029.jpg,DEFEAT,Cyclops,Angela,Karina,Esmeralda,Moskov,Harley,Vexana,Alice,Obsidia,Arlott
img_030.jpg,VICTORY,Vexana,Popol_and_Kupa,Yu_Zhong,Selena,Esmeralda,Aurora,Zilong,Leomord,Lesley,Tigreal
img_031.jpg,VICTORY,Lapu-Lapu,Alucard,Gatotkaca,Aurora,Karina,Irithel,Benedetta,Novaria,Rafaela,Alpha
img_032.jpg,VICTORY,Cecilion,Akai,Yu_Zhong,Joy,Miya,Vale,Helcurt,Granger,Paquito,Kalea
img_033.jpg,VICTORY,Guinevere,Ixia,Phoveus,Chang'e,Gusion,Zhuxin,Harley,Esmeralda,Mathilda,Miya
img_034.jpg,VICTORY,Angela,Lylia,Gusion,Thamuz,Granger,Zetian,Belerick,Alpha,Guinevere,Lapu-Lapu
img_035.jpg,DEFEAT,Miya,Cyclops,Esmeralda,Hilda,Vexana,Badang,Zetian,Layla,Hanzo,Alice
img_036.jpg,DEFEAT,Julian,Cici,Ixia,Odette,Silvanna,Eudora,Thamuz,Leomord,Grock,Lesley
img_037.jpg,VICTORY,Angela,Lylia,Gusion,Granger,Thamuz,Zetian,Belerick,Alpha,Guinevere,Lapu-Lapu
img_038.jpg,VICTORY,Rafaela,Leomord,Kimmy,Cecilion,Gusion,Yu_Zhong,Lesley,Gord,Cyclops,Hylos
img_039.jpg,VICTORY,Chou,Zetian,Mathilda,Beatrix,Gusion,Zhuxin,Hayabusa,Esmeralda,Khufra,Clint
img_040.jpg,VICTORY,Estes,Granger,Cyclops,Saber,Silvanna,Harley,Brody,Chang'e,Phoveus,Franco
img_041.jpg,VICTORY,Sun,Roger,Tigreal,Lesley,Lylia,Zilong,Chang'e,Hanabi,Aamon,Minotaur
img_042.jpg,VICTORY,Chou,Alucard,Valir,Karrie,Hylos,Kalea,Sun,Benedetta,Wanwan,Cyclops
img_043.jpg,VICTORY,Uranus,Fanny,Rafaela,Miya,Kadita,Lancelot,Saber,Vexana,Aldous,Hanabi
img_044.jpg,VICTORY,Lesley,Lylia,Silvanna,Natalia,Rafaela,Hanabi,Yu_Zhong,Belerick,Miya,Aamon
img_045.jpg,VICTORY,Floryn,Hanabi,Gord,Hayabusa,Thamuz,Granger,Cecilion,Sun,Alice,Belerick
img_046.jpg,VICTORY,Cyclops,Franco,Yi_Sun-shin,Esmeralda,Lesley,Leomord,Angela,Karrie,Chang'e,Freya
img_047.jpg,VICTORY,Pharsa,Lapu-Lapu,Hanabi,Franco,Lancelot,Gusion,Silvanna,Moskov,Grock,Cyclops
img_048.jpg,VICTORY,Nana,Yu_Zhong,Clint,Tigreal,Alucard,Zilong,Moskov,Gusion,Gatotkaca,Odette
img_049.jpg,VICTORY,Carmilla,Yi_Sun-shin,Zilong,Nana,Hanabi,Cecilion,Gusion,Layla,Alpha,Kaja
img_050.jpg,VICTORY,Lesley,Aamon,Lapu-Lapu,Nana,Akai,Belerick,Clint,Odette,Saber,Cici
img_051.jpg,VICTORY,Nana,Sora,Atlas,Lancelot,Ixia,Odette,Hayabusa,X.Borg,Hilda,Bruno
img_052.jpg,VICTORY,Cyclops,Hanabi,Silvanna,Tigreal,Karina,Aamon,Miya,Belerick,Novaria,Guinevere
img_053.jpg,VICTORY,Lukas,Tigreal,Nana,Ixia,Zilong,Thamuz,Valir,Alpha,Atlas,Melissa
img_054.jpg,VICTORY,Zilong,Harley,Sora,Lukas,Miya,Nana,Harley,Lylia,Guinevere,Zilong
img_055.jpg,VICTORY,Zhask,Hanabi,Leomord,Tigreal,Sora,Claude,Popol_and_Kupa,Faramis,Esmeralda,Belerick
img_056.jpg,VICTORY,Zetian,Layla,Lukas,Carmilla,Helcurt,Kadita,Gusion,Dyrroth,Diggie,Beatrix
img_057.jpg,DEFEAT,Yi_Sun-shin,Zetian,Clint,Atlas,Lapu-Lapu,Cecilion,Franco,Zilong,Beatrix,Karina
img_058.jpg,DEFEAT,Claude,Phoveus,Kalea,Aulus,Cyclops,Zetian,Popol_and_Kupa,Masha,Rafaela,Natan
img_059.jpg,VICTORY,Yi_Sun-shin,Zhuxin,Khaleed,Chou,Obsidia,Fredrinn,Hayabusa,Vexana,Melissa,Arlott
img_060.jpg,VICTORY,Eudora,Kadita,Karrie,Zilong,Silvanna,Julian,Lesley,Fanny,Jawhead,Nana
img_061.jpg,VICTORY,Eudora,Kadita,Karrie,Silvanna,Zilong,Julian,Lesley,Fanny,Jawhead,Nana
img_062.jpg,DEFEAT,Alice,Harley,Alpha,Saber,Lesley,Claude,Benedetta,Rafaela,Helcurt,Lylia
img_063.jpg,VICTORY,Obsidia,Guinevere,Cecilion,Franco,Gusion,Selena,Esmeralda,Beatrix,Gatotkaca,Cyclops
img_064.jpg,VICTORY,X.Borg,Saber,Sun,Hanabi,Eudora,Harley,Dyrroth,Aamon,Bruno,Alice
img_065.jpg,DEFEAT,Alice,Harley,Alpha,Saber,Lesley,Claude,Benedetta,Rafaela,Helcurt,Lylia
img_066.jpg,DEFEAT,Obsidia,Pharsa,Thamuz,Karina,Mathilda,Johnson,Moskov,Odette,Aamon,Ruby
img_067.jpg,DEFEAT,Yu_Zhong,Kimmy,Chang'e,Grock,Yin,Chou,Moskov,Cyclops,Suyou,Guinevere
img_068.jpg,DEFEAT,Vexana,Suyou,Granger,Jawhead,Martis,Tigreal,Lesley,Vale,Chou,Aamon
img_069.jpg,VICTORY,Jawhead,Badang,Karrie,Selena,Guinevere,Yu_Zhong,Balmond,Cyclops,Hanabi,Belerick
img_070.jpg,DEFEAT,Jawhead,Miya,Valentina,Chip,Alice,Obsidia,Bane,Chou,Atlas,Zetian
img_071.jpg,VICTORY,Hanzo,Esmeralda,Claude,Vexana,Cyclops,Lapu-Lapu,Zetian,Diggie,Hanabi,Suyou
img_072.jpg,DEFEAT,Guinevere,Cyclops,Lolita,Gusion,Granger,Hanabi,Gloo,Rafaela,Pharsa,Helcurt
img_073.jpg,DEFEAT,Gusion,Guinevere,Jawhead,Lesley,Balmond,Miya,Freya,Hilda,Baxia,Nana
img_074.jpg,VICTORY,Obsidia,Cecilion,Julian,Lolita,Gatotkaca,Granger,Alpha,Lapu-Lapu,Kimmy,Diggie
img_075.jpg,DEFEAT,Gusion,Guinevere,Jawhead,Lesley,Balmond,Miya,Freya,Hilda,Baxia,Nana
img_076.jpg,DEFEAT,Johnson,Hanzo,Gusion,Lapu-Lapu,Clint,Zetian,Karina,X.Borg,Obsidia,Tigreal
img_077.jpg,VICTORY,Gloo,Lukas,Brody,Grock,Vexana,Lunox,Popol_and_Kupa,Thamuz,Tigreal,Bruno
img_078.jpg,VICTORY,Rafaela,Brody,Yin,Gusion,Valentina,Melissa,Benedetta,Floryn,Chang'e,Karina
img_079.jpg,DEFEAT,Johnson,Hanzo,Gusion,Lapu-Lapu,Clint,Zetian,Karina,X.Borg,Obsidia,Tigreal
img_080.jpg,VICTORY,Chang'e,Gusion,Valentina,Terizla,Brody,Estes,Granger,Alpha,Vexana,Alucard
img_081.jpg,VICTORY,Zilong,Lesley,Terizla,Kadita,Grock,Sora,Hanabi,Cyclops,Julian,Minsitthar
img_082.jpg,DEFEAT,Jawhead,Grock,Alice,Ling,Granger,Gusion,Cici,Badang,Yi_Sun-shin,Popol_and_Kupa
img_083.jpg,DEFEAT,Grock,Julian,Vexana,Silvanna,Clint,Lapu-Lapu,Lunox,Kadita,Obsidia,Alpha
img_084.jpg,VICTORY,Hanabi,Valentina,Vexana,Gusion,Esmeralda,Granger,Angela,Joy,Zilong,Cecilion
img_085.jpg,VICTORY,Atlas,Yi_Sun-shin,Cecilion,Hanabi,Alpha,Thamuz,Kagura,Angela,Irithel,Gatotkaca
img_086.jpg,VICTORY,Karina,Cyclops,Vexana,Brody,Cici,Kagura,Mathilda,Hanabi,Silvanna,Benedetta
img_087.jpg,DEFEAT,Pharsa,Yi_Sun-shin,Hanabi,Dyrroth,Tigreal,Khufra,Yu_Zhong,Xavier,Leomord,Melissa
img_088.jpg,VICTORY,Guinevere,Esmeralda,Miya,Vexana,Gusion,Lapu-Lapu,Chou,Aamon,Kimmy,Beatrix
img_089.jpg,DEFEAT,Yu_Zhong,Vale,Layla,Minotaur,Roger,Miya,Lunox,Alucard,Atlas,Minsitthar
img_090.jpg,DEFEAT,Zetian,Karrie,Floryn,Sun,Terizla,Thamuz,Aamon,Lunox,Angela,Hanabi
img_091.jpg,VICTORY,Karrie,Sun,Terizla,Vexana,Angela,Lylia,Dyrroth,Badang,Lesley,Yin
img_092.jpg,DEFEAT,Nolan,Akai,Irithel,Lapu-Lapu,Selena,Miya,Helcurt,Gusion,Badang,Gord
img_093.jpg,DEFEAT,Zetian,Moskov,Granger,Franco,Valir,X.Borg,Hanabi,Hayabusa,Saber,Nana
img_094.jpg,DEFEAT,Aulus,Lapu-Lapu,Hanabi,Floryn,Vale,Gusion,Badang,Miya,Minsitthar,Kagura
img_095.jpg,VICTORY,Pharsa,Sun,Nana,Miya,Fredrinn,Lesley,Roger,Minsitthar,Khufra,Vale
img_096.jpg,VICTORY,Cyclops,Zetian,Ruby,Rafaela,Miya,Eudora,Gusion,Silvanna,Lolita,Layla
img_097.jpg,VICTORY,Johnson,Eudora,Bruno,Yu_Zhong,Harley,Beatrix,Diggie,Cecilion,Thamuz,Lapu-Lapu
img_098.jpg,VICTORY,Layla,Roger,Zhask,Hylos,Thamuz,Kadita,Karina,Dyrroth,Mathilda,Granger
img_099.jpg,DEFEAT,Thamuz,Harley,Diggie,Clint,Cyclops,Aamon,Minotaur,Chou,Lesley,Odette
img_100.jpg,VICTORY,Lylia,Roger,Layla,Carmilla,Edith,Xavier,Yu_Zhong,Granger,Hanabi,Badang
img_101.jpg,DEFEAT,Belerick,Layla,Kimmy,Freya,Roger,X.Borg,Granger,Angela,Leomord,Vexana
img_102.jpg,VICTORY,Luo_Yi,Lukas,Selena,Clint,Roger,Lapu-Lapu,Alice,Natalia,Brody,Esmeralda
img_103.jpg,VICTORY,Layla,Vale,Gloo,Roger,Floryn,Zilong,Guinevere,Julian,Hanabi,Angela
img_104.jpg,VICTORY,Floryn,Layla,Sun,Zetian,Roger,Kagura,Gusion,Terizla,Akai,Clint
img_105.jpg,DEFEAT,Hanabi,Selena,Floryn,Aldous,Karina,Lapu-Lapu,Zetian,Aamon,Chou,Ixia
