id,winpick1,winpick2,winpick3,winpick4,winpick5,losepick1,losepick2,losepick3,losepick4,losepick5
Match_1,Claude,Gord,Martis,Paquito,Silvanna,Angela,Brody,Edith,Ling,Pharsa
Match_2,Atlas,Lapu-Lapu,Lesley,Martis,Xavier,Estes,Fredrinn,Moskov,Pharsa,Silvanna
Match_3,Atlas,Gusion,Karina,Melissa,Silvanna,Beatrix,Fanny,Kaja,Lolita,Valentina
Match_4,Fredrinn,Kadita,Terizla,Valentina,Wanwan,Brody,Freya,Julian,Lancelot,Silvanna
Match_5,Arlott,Lesley,Lolita,Pharsa,Silvanna,Aldous,Franco,Fredrinn,Melissa,Valir
Match_6,Aldous,Alucard,Joy,Lolita,Moskov,Claude,Fanny,Gusion,Martis,Silvanna
Match_7,Brody,Estes,Gloo,Martis,Silvanna,Beatrix,Khufra,Ling,Pharsa,Terizla
Match_8,Melissa,Natalia,Ruby,Silvanna,Valentina,Beatrix,Hayabusa,Hilda,Lancelot,Xavier
Match_9,Franco,Hanabi,Martis,Valentina,X.Borg,Ling,Melissa,Minsitthar,Selena,Silvanna
Match_10,Estes,Granger,Lesley,Silvanna,Xavier,Atlas,Beatrix,Faramis,Martis,Terizla
Match_11,Aldous,Fanny,Lesley,Selena,Silvanna,Akai,Claude,Esmeralda,Khufra,Valentina
Match_12,Beatrix,Faramis,Martis,Silvanna,Yu Zhong,Diggie,Ling,Melissa,Roger,Valentina
Match_13,Aldous,Claude,Julian,Minsitthar,Silvanna,Aamon,Beatrix,Lapu-Lapu,Selena,Valentina
Match_14,Claude,Estes,Fredrinn,Lapu-Lapu,Silvanna,Akai,Brody,Fanny,Xavier,Yu Zhong
Match_15,Claude,Estes,Martis,Silvanna,Xavier,Argus,Clint,Hayabusa,Natalia,Valentina
Match_16,Aldous,Martis,Moskov,Silvanna,Xavier,Atlas,Clint,Fredrinn,Kadita,Minsitthar
Match_17,Aldous,Claude,Eudora,Ling,Silvanna,Atlas,Clint,Edith,Hayabusa,Xavier
Match_18,Balmond,Gusion,Layla,Moskov,Pharsa,Brody,Cecilion,Lapu-Lapu,Saber,Selena
Match_19,Balmond,Melissa,Odette,Sun,Valir,Aamon,Arlott,Clint,Kaja,Pharsa
Match_20,Arlott,Bruno,Franco,Harley,Valentina,Aldous,Angela,Balmond,Moskov,Vale
Match_21,Aurora,Karrie,Lapu-Lapu,Ling,Lolita,Balmond,Diggie,Hanzo,Kadita,Moskov
Match_22,Balmond,Kadita,Karrie,Minsitthar,Nana,Brody,Johnson,Martis,Terizla,Valir
Match_23,Harley,Khufra,Moskov,Pharsa,Yin,Hanabi,Lapu-Lapu,Martis,Tigreal,Xavier
Match_24,Estes,Hanabi,Harley,Lapu-Lapu,Lylia,Aamon,Atlas,Badang,Bruno,Xavier
Match_25,Balmond,Clint,Franco,Minsitthar,Xavier,Edith,Estes,Fanny,Hanabi,Zhask
Match_26,Hayabusa,Lapu-Lapu,Melissa,Tigreal,Valentina,Atlas,Cecilion,Clint,Esmeralda,X.Borg
Match_27,Arlott,Franco,Karina,Karrie,Vale,Lapu-Lapu,Lesley,Nana,Paquito,Selena
Match_28,Balmond,Beatrix,Dyrroth,Estes,Zhask,Carmilla,Claude,Kaja,Pharsa,Zilong
Match_29,Balmond,Estes,Gord,Lesley,Thamuz,Alpha,Belerick,Brody,Minsitthar,Valentina
Match_30,Kadita,Kagura,Melissa,Ruby,Saber,Aamon,Balmond,Clint,Tigreal,Vexana
Match_31,Beatrix,Estes,Ruby,Valentina,Yi Sun-shin,Kaja,Lapu-Lapu,Ling,Vexana,Wanwan
Match_32,Atlas,Balmond,Bane,Claude,Vexana,Beatrix,Franco,Lancelot,Lancelot,Valentina
Match_33,Cyclops,Floryn,Hanabi,Lapu-Lapu,Saber,Diggie,Gloo,Harley,Irithel,Lancelot
